millis,action,mouse.x,mouse.y
2526,mousePosition,1876.8,960.0
3432,mousePosition,1862.4,690.0
4351,mousePosition,998.4,1033.2
4621,mouseReleased,998.4,1033.2
5271,mousePosition,1006.8,990.0
6174,mousePosition,988.8,1009.2
7072,mousePosition,979.2,950.4
7460,mouseReleased,1000.8,1029.6
7955,mousePosition,1009.2,1029.6
8850,mousePosition,1006.8,1045.2
8935,mouseReleased,1006.8,1045.2
9749,mousePosition,210.0,465.6
9977,mouseReleased,204.0,500.4
10634,mousePosition,924.0,628.8
11558,mousePosition,927.6,634.8
11670,mouseReleased,927.6,634.8
12371,mouseReleased,682.8,726.0
12457,mousePosition,682.8,726.0
13354,mousePosition,1837.2,721.2
13959,mouseReleased,1051.2,1033.2
14273,mousePosition,1222.8,973.2
14769,mouseReleased,1849.2,720.0
15201,mousePosition,1158.0,848.4
15551,mouseReleased,1144.8,943.2
15925,mouseReleased,1142.4,928.8
16113,mousePosition,1142.4,931.2
17105,mousePosition,558.0,310.8
18246,mousePosition,1557.6,489.6
19247,mousePosition,624.0,424.8
20202,mousePosition,134.4,152.4
21179,mousePosition,56.4,76.8
22125,mousePosition,74.4,350.4
23100,mousePosition,52.8,811.2
24028,mousePosition,86.4,1058.4
24977,mousePosition,968.4,818.4
25961,mousePosition,390.0,1027.2
26897,mousePosition,152.4,764.4
27886,mousePosition,759.6,612.0
28872,mousePosition,213.6,338.4
29816,mousePosition,747.6,22.8
30809,mousePosition,1264.8,158.4
31752,mousePosition,1584.0,502.8
32732,mousePosition,1243.2,184.8
33663,mousePosition,1600.8,90.0
34648,mousePosition,1755.6,40.8
35563,mousePosition,1916.4,240.0
36543,mousePosition,1585.2,525.6
37479,mousePosition,1363.2,86.4
38539,mousePosition,968.4,169.2
39479,mousePosition,613.2,1059.6
40522,mousePosition,1352.4,997.2
41452,mousePosition,1830.0,579.6
42452,mousePosition,1742.4,813.6
43371,mousePosition,1882.8,1064.4
44308,mousePosition,1797.6,1042.8
45189,mousePosition,1731.6,1057.2
46087,mousePosition,1782.0,588.0
47073,mousePosition,1504.8,1117.2
47993,mousePosition,1362.0,1070.4
48982,mousePosition,996.0,776.4
49908,mousePosition,1252.8,862.8
50833,mousePosition,1112.4,603.6
51958,mousePosition,1634.4,715.2
52882,mousePosition,1809.6,505.2
53794,mousePosition,1536.0,180.0
54791,mousePosition,1951.2,104.4
55695,mousePosition,1712.4,474.0
56614,mousePosition,1956.0,284.4
57811,mousePosition,1798.8,297.6
59193,mousePosition,1327.2,494.4
60107,mousePosition,1028.4,376.8
61120,mousePosition,1731.6,474.0
61745,mouseReleased,1478.4,465.6
61966,mousePosition,1358.4,498.0
62804,mousePosition,913.2,626.4
63323,mouseReleased,1441.2,596.4
63742,mousePosition,1204.8,657.6
64521,mouseReleased,44.4,586.8
64579,mousePosition,109.2,590.4
65486,mousePosition,1399.2,646.8
65541,mouseReleased,1399.2,646.8
66158,mouseReleased,1846.8,723.6
66327,mousePosition,1370.4,682.8
66890,mouseReleased,1129.2,603.6
67165,mousePosition,1124.4,636.0
67451,mouseReleased,1123.2,614.4
68158,mousePosition,1663.2,651.6
68186,mouseReleased,1663.2,651.6
69023,mousePosition,730.8,710.4
69400,mouseReleased,484.8,696.0
69975,mousePosition,1668.0,638.4
70003,mouseReleased,1668.0,638.4
70832,mousePosition,994.8,756.0
71289,mouseReleased,1639.2,634.8
71485,mouseReleased,1692.0,658.8
71625,mouseReleased,1670.4,657.6
71682,mousePosition,1670.4,655.2
71766,mouseReleased,1662.0,651.6
71961,mouseReleased,1639.2,639.6
72110,mouseReleased,1612.8,612.0
72621,mousePosition,440.4,753.6
72906,mouseReleased,417.6,660.0
73047,mouseReleased,417.6,660.0
73158,mouseReleased,417.6,660.0
73298,mouseReleased,417.6,660.0
73467,mousePosition,711.6,494.4
74061,mouseReleased,447.6,672.0
74374,mousePosition,1317.6,656.4
74678,mouseReleased,1680.0,638.4
75226,mousePosition,766.8,699.6
75712,mouseReleased,320.4,685.2
76071,mousePosition,1750.8,666.0
76125,mouseReleased,1750.8,663.6
76456,mouseReleased,1674.0,668.4
77300,mousePosition,990.0,823.2
77618,mouseReleased,525.6,741.6
78155,mousePosition,1651.2,649.2
78350,mouseReleased,1651.2,648.0
79015,mousePosition,811.2,738.0
79300,mouseReleased,438.0,709.2
79944,mousePosition,1336.8,790.8
80783,mousePosition,1243.2,740.4
81474,mouseReleased,1783.2,1020.0
81685,mousePosition,1665.6,963.6
82493,mouseReleased,1885.2,721.2
82521,mousePosition,1885.2,726.0
83046,mouseReleased,1879.2,1018.8
83322,mouseReleased,1848.0,895.2
83350,mousePosition,1848.0,895.2
83599,mouseReleased,1872.0,816.0
84272,mousePosition,1850.4,634.8
84718,mouseReleased,1868.4,600.0
85113,mousePosition,1207.2,590.4
85335,mouseReleased,1406.4,590.4
85586,mouseReleased,1354.8,591.6
85950,mousePosition,355.2,630.0
86468,mouseReleased,1027.2,1004.4
86889,mousePosition,181.2,625.2
87276,mouseReleased,63.6,619.2
87723,mousePosition,843.6,784.8
88026,mouseReleased,673.2,818.4
88559,mousePosition,708.0,652.8
89087,mouseReleased,1204.8,811.2
89363,,1204.8,811.2
89363,exit,1204.8,811.2
